District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
BURET,TECHOGET,KAMINJEIWA,1347,1350,2697,468,4.82,559.15,CHEBORGE,RIFT VALLEY
BURET,CHEMOSOT,KAMINJEIWET,1316,1293,2609,506,5.11,510.61,RORET,RIFT VALLEY
KIAMBU WEST,LIMURU,KAMIRITHU,8672,8649,17321,4620,16.3,1062.61,LIMURU,CENTRAL
NYERI NORTH,MUGUNDA,KAMIRURI,1325,1441,2766,722,19.23,143.8,KIENI WEST,CENTRAL
KIAMBU EAST(KIAMBAA),KAMITI,KAMITI,1903,1701,3604,1250,21.72,165.93,KIAMBU MUINI.,CENTRAL
EMBU,MUNICIPALITY,KAMIU,7524,7496,15020,4810,6.52,2305.45,CENTRAL,EASTERN
RACHUONYO,KODERA,KAMIYAWA,2112,2346,4458,1030,22.42,198.87,KASIPUL,NYANZA
POKOT NORTH,KASEI,KAMKETO,1042,1094,2136,447,27.08,78.87,KASEI,RIFT VALLEY
NANDI CENTRAL,KAMOBO,KAMOBO,4060,4010,8070,1821,37.73,213.87,KAPSABET,RIFT VALLEY
BURET,KAPTEBENGWET,KAMOGOMON,3607,3045,6652,1847,25.63,259.52,KIMULOT,RIFT VALLEY
BOMET,CHESOEN,KAMOGOSO,4098,4190,8288,1542,12.25,676.3,BOMET CENTRAL,RIFT VALLEY
MARAKWET,KAMOI,KAMOI,922,898,1820,361,4.3,422.85,KAPCHEROP,RIFT VALLEY
KEIYO,KEU,KAMOINGON,412,320,732,222,44.01,16.63,TAMBACH,RIFT VALLEY
NANDI CENTRAL,KAMOIYWO,KAMOIYWO,1502,1476,2978,565,10.88,273.73,KAPSABET,RIFT VALLEY
NYERI SOUTH,MAHIGA,KAMOKO,1427,1736,3163,878,5.46,579.46,OTHAYA,CENTRAL
TESO NORTH,KAMOLO,KAMOLO,1016,1069,2085,412,6.14,339.63,AMAGORO,WESTERN
NANDI CENTRAL,CHEPTERIT,KAMONJIL,1618,1705,3323,678,6.4,518.98,KOSIRAI,RIFT VALLEY
MERU SOUTH,MUTINO,KAMONKA,1088,1161,2249,530,16.98,132.41,IGAMBANG'OMBE,EASTERN
MANDERA EAST,KAMOR,KAMOR,4161,3687,7848,931,5.72,1370.9,CENTRAL,NORTH EASTERN
MANDERA EAST,KAMORA LIBAN,KAMORA LIBAN,1498,1340,2838,392,104.94,27.04,LAFFEY,NORTH EASTERN
MANDERA EAST,HARERI HOSLE,KAMORO-ELE,372,369,741,135,24.55,30.18,KHALALIO,NORTH EASTERN
NAKURU,KAMPI YA MOTO,KAMPI YA MOTO,1508,1515,3023,806,13.46,224.57,KAMPI YA MOTO,RIFT VALLEY
RONGO,S.KAMAGAMBO,KAMRERI,1421,1470,2891,609,7.39,391.04,RONGO,NYANZA
SUBA,GEMBE CENTRAL,KAMRERI EAST,1481,1535,3016,564,21.72,138.88,MBITA,NYANZA
SUBA,GEMBE CENTRAL,KAMRERI WEST,1323,1417,2740,459,26.2,104.57,MBITA,NYANZA
RONGO,WEST SAKWA,KAMRESI,2976,3329,6305,1292,17.49,360.43,AWENDO,NYANZA
RONGO,SOUTH KANYAMKAGO,KAMSAKI,3077,3174,6251,1216,15.21,411.11,URIRI,NYANZA
RACHUONYO,KAMSER NYAKONGO,KAMSER 'A',1602,1634,3236,716,7.79,415.48,EAST KARACHUONYO,NYANZA
RACHUONYO,KAMSER NYAKONGO,KAMSER 'B',779,814,1593,345,6.94,229.61,EAST KARACHUONYO,NYANZA
RACHUONYO,RAMBIRA,KAMSER SEKA,1978,2243,4221,934,9.88,427.23,EAST KARACHUONYO,NYANZA
NYANDO,N.E. KANO,KAMSWA NORTH,1037,1100,2137,477,6.44,331.91,MIWANI,NYANZA
NYANDO,NYANGOMA,KAMSWA SOUTH,2804,2992,5796,1252,25.74,225.21,MIWANI,NYANZA
MT. ELGON,ELGON,KAMTIONG,921,937,1858,352,4.1,452.84,KAPSOKWONY,WESTERN
LARI,GATAMAIYU,KAMUCHEGE,2759,2681,5440,1364,10.12,537.54,GATAMAIYU,CENTRAL
RACHUONYO,KOYUGI,KAMUGA,1189,1255,2444,542,6.94,352.15,W.KARACHUONYO,NYANZA
RACHUONYO,KAKDHIMU EAST,KAMUGA,1281,1219,2500,480,5.68,440,W.KARACHUONYO,NYANZA
TURKANA SOUTH,KAMUGE,KAMUGA,2762,2342,5104,568,797.23,6.4,LOMELO,RIFT VALLEY
NAKURU,MENENGAI,KAMUGEI,1914,1873,3787,884,18.64,203.16,NGATA,RIFT VALLEY
EMBU,KAGAARI N. WEST,KAMUGERE,534,574,1108,283,2.84,390.06,RUNYENJES,EASTERN
MURANGA SOUTH,MARAGUA RIDGE,KAMUIRU,1494,1485,2979,730,10.71,278.12,MARAGUA,CENTRAL
MURANGA SOUTH,KINYONA,KAMUKABI,3498,3774,7272,1859,15.3,475.29,KIGUMO,CENTRAL
LARI,KAMAE,KAMUKOMBINI,2343,2461,4804,1023,16.69,287.88,LARI,CENTRAL
NAIROBI NORTH,KAMUKUNJI,KAMUKUNJI,863,325,1188,113,0.24,4886.88,PUMWANI,NAIROBI
ELDORET WEST,KIBULGENY,KAMUKUNJI,9949,8670,18619,5765,18.02,1033.14,SOY,RIFT VALLEY
KYUSO,MIVUKONI,KAMULA,1126,1225,2351,411,75.24,31.24,KYUSO,EASTERN
RACHUONYO,KAMAGAK WEST,KAMUMA,5857,6728,12585,2827,13.61,924.65,KASIPUL,NYANZA
POKOT NORTH,KASES,KAMUNAI,786,710,1496,266,53.19,28.13,ALALE,RIFT VALLEY
MURANGA NORTH,KAMACHARIA,KAMUNE,3125,3377,6502,1921,11.86,548.14,MATHIOYA,CENTRAL
MT. ELGON,KAMUNERU,KAMUNERU,1817,1842,3659,678,5.58,655.61,KAPSOKWONY,WESTERN
NANDI NORTH,KAPTICH,KAMUNGEI,1262,1291,2553,493,11.74,217.38,KIPKAREN,RIFT VALLEY
SOTIK,KAMUNGEI,KAMUNGEI,1645,1720,3365,648,5.83,576.98,KAPLETUNDO,RIFT VALLEY
POKOT NORTH,KAPTOLOMWO,KAMUNONO,764,859,1623,346,36.49,44.48,KASEI,RIFT VALLEY
GATUNDU,GITHOMBOKONI,KAMUNYAKA,962,979,1941,477,5.9,329.07,MANGU,CENTRAL
KIRINYAGA,MURINDUKO,KAMUNYANGE,2526,2407,4933,1467,17.66,279.4,MWEA,CENTRAL
MAKUENI,WOTE,KAMUNYOLO,4138,4108,8246,2506,23.47,351.34,WOTE,EASTERN
NAROK NORTH,OLPOSIMORU,KAMURAR,1821,1816,3637,668,107.38,33.87,OLOKURTO,RIFT VALLEY
NANDI CENTRAL,KAMOBO,KAMURGUIWA,1965,2029,3994,908,8.25,483.85,KAPSABET,RIFT VALLEY
KYUSO,MITAMISYI,KAMUSILIU,824,961,1785,314,51.53,34.64,NGOMENI,EASTERN
MACHAKOS,NGELANI,KAMUTHANGA,1729,2002,3731,912,4.3,868.3,CENTRAL,EASTERN
FAFI,KAMUTHE,KAMUTHE,1891,1554,3445,548,318.48,10.82,BURA,NORTH EASTERN
NAIROBI NORTH,GITHURAI,KAMUTHI,2087,2313,4400,1190,1.17,3764.54,KASARANI,NAIROBI
MWALA,IKALAASA,KAMUTHWA,1293,1412,2705,564,19.3,140.13,KIBAUNI,EASTERN
MERU SOUTH,KAJUKI,KAMUTIRIA,1341,1537,2878,677,11.97,240.4,IGAMBANG'OMBE,EASTERN
MWINGI,UKASI,KAMUTIU,1083,1244,2327,432,72.74,31.99,NGUNI,EASTERN
IMENTI NORTH,RUIRI,KAMUTUNE,1466,1610,3076,808,6.74,456.38,BUURI,EASTERN
KYUSO,KAMUWONGO,KAMUWONGO,1647,1883,3530,719,28.68,123.07,KYUSO,EASTERN
EMBU,NGANDORI EAST,KAMVIU,1058,1085,2143,581,3.25,659.36,MANYATTA,EASTERN
MWALA,MWALA,KAMWALA,2341,2401,4742,976,16.63,285.11,MWALA,EASTERN
RACHUONYO,WANGCHIENG,KAMWALA,1379,1516,2895,651,3.72,777.95,EAST KARACHUONYO,NYANZA
GATUNDU,GATHAITE,KAMWANGI,3548,3668,7216,1855,8.31,868.53,MANGU,CENTRAL
MAARA,GITIJE,KAMWANGU,1012,947,1959,494,11.57,169.28,MUTHAMBI,EASTERN
RACHUONYO,KANJIRA,KAMWANIA,707,855,1562,334,4.51,346.4,W.KARACHUONYO,NYANZA
THARAKA,MARAGWA,KAMWATHU,1824,1947,3771,767,81.28,46.4,THARAKA NORTH,EASTERN
NANDI NORTH,SANGALO,KAMWEGA,3558,3565,7123,1423,44.4,160.44,KABIYET,RIFT VALLEY
MERU SOUTH,KAMWIMBI,KAMWIMBI,1095,1180,2275,571,17.53,129.81,IGAMBANG'OMBE,EASTERN
KIPKELION,MASAITA,KAMWINGI,947,940,1887,408,5.86,322.18,SORGET,RIFT VALLEY
KEIYO,KAMWOSOR,KAMWOSOR,1242,1235,2477,542,6.73,368.12,METKEI,RIFT VALLEY
TURKANA NORTH,KAERIS,KANAKURUDIO,2550,1941,4491,545,1113.49,4.03,KAALENG,RIFT VALLEY
HOMABAY,WEST KOCHIA,KANAM,1409,1564,2973,679,6.19,480.59,RANGWE,NYANZA
KILIFI,MTWAPA,KANAMAI,7604,7785,15389,3542,16.96,907.52,KIKAMBALA,COAST
TURKANA CENTRAL,KANAMKEMER,KANAMKEMER,6764,7639,14403,2758,82.32,174.97,CENTRAL,RIFT VALLEY
TURKANA NORTH,NGISSIGER,KANAMUKUNY,1248,983,2231,339,36.33,61.42,LOKITAUNG,RIFT VALLEY
TURKANA SOUTH,KATILU,KANAODON,4627,3605,8232,875,93.43,88.11,KATILU,RIFT VALLEY
MUTOMO,MUTOMO,KANDAE,1196,1422,2618,639,17.38,150.63,MUTOMO,EASTERN
MURANGA SOUTH,KAHUMBU,KANDANI,2530,2770,5300,1385,12.39,427.64,MARAGUA,CENTRAL
NYANDO,E. NYAKACH,KANDARIA,846,832,1678,354,3.49,481.08,LOWER NYAKACH,NYANZA
KAJIADO NORTH,NKAIMURUNYA,KANDISI,2371,2510,4881,1333,2.56,1908.95,NGONG,RIFT VALLEY
MAARA,GITIJE,KANDUNGU,1868,1885,3753,922,13.29,282.44,MUTHAMBI,EASTERN
NYANDARUA NORTH,KAIMBAGA,KANDUTURA,3261,3431,6692,1568,64,104.56,OLKALOU,CENTRAL
NAKURU,VISOI,KANDUTURA,2835,2921,5756,1324,22.95,250.81,RONGAI,RIFT VALLEY
TURKANA CENTRAL,LORENGELUP,KANGAGETEI,916,970,1886,290,286.44,6.58,KERIO,RIFT VALLEY
IMENTI NORTH,ONTULILI,KANGAITA,2076,2054,4130,1188,25.57,161.51,TIMAU,EASTERN
TURKANA NORTH,KAERIS,KANGAKIPUR,1318,1089,2407,274,344.06,7,KAALENG,RIFT VALLEY
MURANGA SOUTH,KANGARI,KANGARI,5946,5964,11910,3420,22.38,532.26,KIGUMO,CENTRAL
WESTLANDS,KANGEMI,KANGEMI,23142,21422,44564,15256,1.57,28298.2,WESTLANDS,NAIROBI
RONGO,W.KAMAGAMBO,KANGESO,1547,1616,3163,667,8.07,392,RONGO,NYANZA
IGEMBE,KANGETA,KANGETA,4574,4060,8634,1615,8.35,1033.49,IGEMBE NORTH,EASTERN
MWALA,MUTHETHENI,KANGETHE,935,1005,1940,447,10.28,188.68,MASII,EASTERN
MERU CENTRAL,GATIMBI,KANGI,800,807,1607,422,5.33,301.43,ABOTHUGUCHI C.,EASTERN
KITUI,KAKEANI,KANGII,1411,1688,3099,694,10.86,285.33,MUTONGUNI,EASTERN
MWALA,MWALA,KANGII,677,699,1376,327,20.54,67,MWALA,EASTERN
TURKANA CENTRAL,KANGIRISAYE,KANGIRISAYE,1791,1852,3643,518,454.97,8.01,KERIO,RIFT VALLEY
TURKANA SOUTH,LOKORI,KANGITIT,3347,3053,6400,791,385.44,16.6,LOKORI,RIFT VALLEY
NYANDO,OMBEYI,KANGO,2259,2324,4583,1014,17.87,256.44,MIWANI,NYANZA
YATTA,KANGONDE,KANGONDE,2040,2093,4133,826,67.28,61.43,MASINGA,EASTERN
NYERI SOUTH,CHINGA NORTH,KANGONGO,1190,1262,2452,700,4.64,528.78,OTHAYA,CENTRAL
MERU SOUTH,MWONGE,KANGORO(KARAMANI),1379,1165,2544,546,3.24,786.3,MAGUMONI,EASTERN
KIRINYAGA,KUTUS,KANGU,1210,1261,2471,673,7.37,335.23,CENTRAL,CENTRAL
KITUI,KIVANI,KANGUNGI,902,1031,1933,434,15.25,126.72,MUTONGUNI,EASTERN
NYANDARUA NORTH,GATIMU,KANGUO,1874,1703,3577,909,23.38,152.99,OLJORO-OROK,CENTRAL
KYUSO,MUSAVANI,KANINGO,1444,1496,2940,552,113.84,25.82,TSEIKURU,EASTERN
EMBU,KAGAARI N.EAST,KANJA NORTH,1661,1812,3473,935,5.3,655.23,RUNYENJES,EASTERN
EMBU,KAGAARI N.EAST,KANJA SOUTH,1562,1655,3217,882,5.77,557.67,RUNYENJES,EASTERN
IMENTI NORTH,GIAKI,KANJAGI,816,822,1638,376,11.42,143.41,MIRIGA MIERU E.,EASTERN
GITHUNGURI,GITHUNGURI,KANJAI,4330,4416,8746,2177,9.07,964.29,GITHUNGURI,CENTRAL
BUSIA,ELUKHARI,KANJALA,1307,1440,2747,576,6.93,396.26,BUTULA,WESTERN
MURANGA NORTH,KIRU,KANJAMA,2487,2862,5349,1404,8.4,636.97,MATHIOYA,CENTRAL
WAJIR SOUTH,KIWANJA NDEGE,KANJARA,948,716,1664,275,394.32,4.22,HABASWEN,NORTH EASTERN
IGEMBE,NGUYUYU,KANJOO,3425,3096,6521,1629,20.28,321.49,IGEMBE EAST,EASTERN
NYERI SOUTH,MUHOYA,KANJORA,883,947,1830,485,3.19,573.7,TETU WEST,CENTRAL
THARAKA,KANJORO,KANJORO,2069,2213,4282,852,67.35,63.58,THARAKA NORTH,EASTERN
NYANDARUA NORTH,TUMAINI,KANJUIRI,4345,4308,8653,1919,48.41,178.74,OLKALOU,CENTRAL
KIRINYAGA,NJUKIINI,KANJUU,3942,3914,7856,2218,22.29,352.47,GICHUGU,CENTRAL
MURANGA NORTH,MUGURU,KANORERO,1545,1653,3198,839,4.84,661.11,KANGEMA,CENTRAL
MERU SOUTH,RUBATE,KANTHIRI,768,830,1598,415,4.62,345.89,MAGUMONI,EASTERN
KYUSO,KANTHUNGU,KANTHUNGU,960,1123,2083,386,67.48,30.87,MUMONI,EASTERN
MAKUENI,KANTHUNI,KANTHUNI,1407,1646,3053,557,43.34,70.44,MAVINDINI,EASTERN
KIAMBU EAST(KIAMBAA),WAGUTHU,KANUNGA,2878,2976,5854,1464,4.96,1180.91,KIAMBAA,CENTRAL
GATANGA,NDAKAINI,KANUNGA,708,693,1401,412,3.2,438.33,KARIARA,CENTRAL
SOTIK,KANUSIN,KANUSIN,1604,1734,3338,596,10.21,327.08,MUTARAKWA,RIFT VALLEY
MWINGI,THITANI,KANYAA,946,1077,2023,456,8.95,226.09,MIGWANI,EASTERN
HOMABAY,EAST KANYADA,KANYACH-KACHAR,3609,4129,7738,1662,25.6,302.27,ASEGO,NYANZA
RACHUONYO,KANAM 'A',KANYADENDA,478,493,971,194,4.67,207.99,W.KARACHUONYO,NYANZA
SIAYA,SOUTH WEST GEM,KANYADET,1953,2212,4165,986,11.44,363.92,WAGAI,NYANZA
RACHUONYO,NORTH KARACHUOYO,KANYADHIANG,1378,1406,2784,634,7.59,366.91,EAST KARACHUONYO,NYANZA
RONGO,E. KAMAGAMBO,KANYADIETO,2670,2922,5592,1227,10.2,548.3,RONGO,NYANZA
NYANDARUA NORTH,KANYAGIA,KANYAGIA,1478,1653,3131,797,19.01,164.67,NDARAGWA,CENTRAL
RONGO,CENTRAL SAKWA,KANYAGWALA,3846,4192,8038,1620,18.08,444.53,AWENDO,NYANZA
IMENTI SOUTH,KANYAKINE,KANYAKINE,3064,3213,6277,1664,10.22,613.89,ABOGETA,EASTERN
MERU SOUTH,KABUBONI,KANYAKINI,857,954,1811,482,2.55,709.78,MAGUMONI,EASTERN
KISUMU EAST,KISUMU EAST,KANYAKWAR,6447,6107,12554,3553,6.56,1913.25,WINAM,NYANZA
RONGO,W.KAMAGAMBO,KANYAMACH,2729,2881,5610,1116,16.82,333.57,RONGO,NYANZA
RONGO,WEST SAKWA,KANYAMGONY,5393,6094,11487,2413,26.26,437.36,AWENDO,NYANZA
RACHUONYO,KANAM 'B',KANYANGO,1786,1925,3711,716,7.81,475.15,W.KARACHUONYO,NYANZA
RACHUONYO,KOWIDI,KANYANGO,3142,3626,6768,1411,10.81,626.3,KASIPUL,NYANZA
HOMABAY,WEST GEM,KANYANJWA,2679,2975,5654,1283,17.26,327.55,RANGWE,NYANZA
KIKUYU,MUGUGA,KANYARIRI,5405,5622,11027,3111,6.64,1659.87,KABETE,CENTRAL
WEST POKOT,KANYARKWAT,KANYARKWAT,1006,1014,2020,393,44.03,45.88,KONGELAI,RIFT VALLEY
HOMABAY,EAST KAGAN,KANYARWANDA,2274,2646,4920,1038,14.04,350.41,RANGWE,NYANZA
RONGO,NORTH SAKWA,KANYASREGA,1722,1819,3541,688,8.72,405.98,AWENDO,NYANZA
RONGO,W.KAMAGAMBO,KANYAWANGA,2707,2967,5674,1148,12.71,446.5,RONGO,NYANZA
KISUMU EAST,KISUMU SOUTH WEST,KANYAWEGI,3237,3292,6529,1454,17.44,374.31,WINAM,NYANZA
KIRINYAGA,KANYEKINE,KANYEI,3019,3081,6100,1715,9.15,666.91,CENTRAL,CENTRAL
KYUSO,THARAKA,KANYENGYA,547,626,1173,209,29.73,39.45,MUMONI,EASTERN
MURANGA NORTH,KANYENYAINI,KANYENYAINI,1835,1889,3724,1096,7.82,476.39,KANGEMA,CENTRAL
POKOT NORTH,KOPULIO,KANYERUS,866,386,1252,192,64.95,19.28,KACHELIBA,RIFT VALLEY
RONGO,W.KAMAGAMBO,KANYIMAMBA,3718,3817,7535,1447,15.72,479.46,RONGO,NYANZA
GUCHA,MAJOGE CHACHE,KANYIMBO,5112,5423,10535,2214,11.49,916.51,OGEMBO,NYANZA
RONGO,C.KAMAGAMBO,KANYINGOMBE,1822,1931,3753,759,4.58,819.38,RONGO,NYANZA
HOMABAY,WEST KAGAN,KANYIRIEMA,2469,2779,5248,1178,15.94,329.17,RANGWE,NYANZA
KIRINYAGA,MUKURE,KANYOKORA,2545,2760,5305,1560,9.61,551.91,NDIA,CENTRAL
RACHUONYO,KAWADHGONE NYONGO,KANYONG'O,722,778,1500,299,5.89,254.87,W.KARACHUONYO,NYANZA
KITUI,KANYONGONYO,KANYONGONYO,1416,1386,2802,501,65.04,43.08,YATTA,EASTERN
GATUNDU,GATHAITE,KANYONI,2338,2449,4787,1195,9.15,523,MANGU,CENTRAL
KITUI,KWA VONZA,KANYONYOONI,2115,1723,3838,1070,309.34,12.41,YATTA,EASTERN
IMENTI NORTH,NKABUNE,KANYUANGO,663,685,1348,301,2.47,544.98,MIRIGA MIERU E.,EASTERN
THARAKA,NTUGI,KANYURU,1191,1261,2452,540,18.46,132.85,THARAKA CENTRAL,EASTERN
MERU CENTRAL,MAKANDUNE,KANYWEE,528,440,968,236,6.1,158.81,KIAGU,EASTERN
MWINGI,KANZANZU,KANZANZU,1073,1206,2279,498,24.04,94.8,CENTRAL,EASTERN
KITUI,MBITINI,KANZAU,1557,1740,3297,669,20.77,158.74,CHULUNI,EASTERN
MWINGI,MWINGI,KANZUI,1025,1225,2250,432,39.61,56.8,CENTRAL,EASTERN
MERU CENTRAL,NDURUMA,KAONGO,2148,2182,4330,1170,9.94,435.48,ABOTHUGUCHI E.,EASTERN
POKOT CENTRAL,MOSOP,KAPATET,1504,1544,3048,569,28.31,107.67,CHESEGON,RIFT VALLEY
KEIYO,KABIEMIT,KAPCHEBELEL,994,980,1974,364,16.99,116.21,CHEPKORIO,RIFT VALLEY
KERICHO,KOITABUROT,KAPCHEBWAI,2096,2022,4118,809,24.82,165.93,SOIN,RIFT VALLEY
KEIYO,KOKWAO,KAPCHELAL,682,680,1362,291,6.67,204.16,TAMBACH,RIFT VALLEY
KERICHO,KABIANGA,KAPCHELUCH,2691,2872,5563,1119,11.37,489.19,KABIANGA,RIFT VALLEY
WEST POKOT,YWALATEKE,KAPCHEMOGEN,1682,1678,3360,598,27.93,120.31,CHEPARERIA,RIFT VALLEY
NANDI CENTRAL,KAPLAMAI,KAPCHEMOIYWO,951,1025,1976,405,5.09,387.95,KILIBWONI,RIFT VALLEY
HAMISI,JEPKOYAI,KAPCHEMUGUNG,2590,2975,5565,1196,6.53,852.27,JEPKOYAI,WESTERN
MARAKWET,CHEMSUMAN,KAPCHEMUTA,614,629,1243,291,8.22,151.29,TUNYO,RIFT VALLEY
BARINGO NORTH,SAIMO,KAPCHEPKOR,1279,1314,2593,492,8.38,309.57,KABARTONJO,RIFT VALLEY
SOTIK,KAPLONG,KAPCHEPKORO,3412,3325,6737,1312,9.71,693.53,SOTIK,RIFT VALLEY
MARAKWET,SENGWER,KAPCHEPSAR,1049,983,2032,387,28.5,71.29,KAPCHEROP,RIFT VALLEY
KEIYO,NYARU,KAPCHEPTEK,2685,2592,5277,1027,21.01,251.21,CHEPKORIO,RIFT VALLEY
BARINGO,OROKWO,KAPCHEPTERIT,1005,1036,2041,436,28.96,70.47,KABARNET,RIFT VALLEY
BARINGO,KABARNET MOSOP,KAPCHEREBET/ TURKWO,177,142,319,87,9.21,34.65,KABARNET,RIFT VALLEY
MARAKWET,SENGWER,KAPCHEROP,2676,2710,5386,1229,7.53,715.47,KAPCHEROP,RIFT VALLEY
NANDI CENTRAL,TULON,KAPCHESIR,746,757,1503,292,10.83,138.81,KILIBWONI,RIFT VALLEY
WEST POKOT,KAISAKAT,KAPCHILLA,1085,1088,2173,391,13.18,164.92,KAPENGURIA,RIFT VALLEY
KEIYO,KAMWOSOR,KAPCHORUA,917,961,1878,399,8.61,218.23,METKEI,RIFT VALLEY
NANDI CENTRAL,KIPTUIYA,KAPCHORWA,5460,5950,11410,2309,36.55,312.15,KAPSABET,RIFT VALLEY
NANDI EAST,KAPCHORWA,KAPCHORWA,1107,969,2076,539,5.86,354.39,NANDI HILLS,RIFT VALLEY
NANDI CENTRAL,TULON,KAPCHUMBA,545,595,1140,228,5.28,215.9,KILIBWONI,RIFT VALLEY
SOTIK,ABOSI,KAPCHUMBE,1639,1787,3426,625,32.93,104.04,ABOSI,RIFT VALLEY
NANDI EAST,CHEPKUNYUK,KAPCHURYAI,775,785,1560,295,5.4,289.07,OL'LESSOS,RIFT VALLEY
TURKANA SOUTH,KAPEDO,KAPEDO,887,528,1415,172,203.16,6.97,LOMELO,RIFT VALLEY
EAST POKOT,SILALE,KAPEDO EAST,5122,2332,7454,1064,189.88,39.26,MONDI,RIFT VALLEY
EAST POKOT,AKORET,KAPEDO NORTH,1070,1109,2179,393,92.82,23.48,NGINYANG,RIFT VALLEY
EAST POKOT,RIBKWO,KAPEDO WEST,864,779,1643,303,105.44,15.58,NGINYANG,RIFT VALLEY
TURKANA SOUTH,LOKICHAR,KAPESE,6610,6022,12632,1664,690.24,18.3,LOKICHAR,RIFT VALLEY
BUSIA,BUKHAYO NORTH,KAPINA,2831,2995,5826,1130,13.24,439.93,NAMBALE,WESTERN
BONDO,SOUTH WEST SAKWA,KAPIYO,1457,1480,2937,670,22.04,133.25,MARANDA,NYANZA
KISUMU EAST,KAWINO NORTH,KAPIYO,1294,1354,2648,561,2.9,914.33,KADIBO,NYANZA
NANDI NORTH,KAMASIA,KAPKAGARON,1171,1172,2343,484,8.64,271.11,KABIYET,RIFT VALLEY
POKOT CENTRAL,LELAN,KAPKANYAR,553,559,1112,206,17.25,64.45,LELAN,RIFT VALLEY
KERICHO,KAPSOROK,KAPKARA,393,395,788,153,8.39,93.95,SOIN,RIFT VALLEY
BURET,LITEIN,KAPKARIN,1496,1546,3042,570,5,608.68,BURET,RIFT VALLEY
TRANS NZOIA EAST,SUWERWA,KAPKARWA,1684,1728,3412,706,15.64,218.1,CHERANGANY,RIFT VALLEY
WEST POKOT,KAIBOS,KAPKATET,479,466,945,188,9.02,104.8,KAPENGURIA,RIFT VALLEY
NANDI NORTH,KABIEMET,KAPKATET,756,745,1501,281,6.55,229.26,KIPKAREN,RIFT VALLEY
KEIYO,KAPCHEMUTWA,KAPKATUI,984,992,1976,374,14.36,137.6,KAMARINY,RIFT VALLEY
NANDI SOUTH,BONJOGE,KAPKEBEN,912,938,1850,319,8.07,229.14,ALDAI,RIFT VALLEY
KERICHO,KIPTERE,KAPKEBURU,1911,1921,3832,750,8.19,467.88,SIGOWET,RIFT VALLEY
BARINGO,MOCHONGOI,KAPKECHIR,2102,2158,4260,864,54.63,77.98,MOCHONGOI,RIFT VALLEY
ELDORET EAST,TEMBELIO,KAPKEI,1136,1182,2318,427,12.07,192,MOIBEN,RIFT VALLEY
KOIBATEK,SIRWA,KAPKEIN,490,469,959,192,15.45,62.06,SIRWA,RIFT VALLEY
SOTIK,KAPKELEI,KAPKELEI,1780,1958,3738,700,12.81,291.72,NDANAI,RIFT VALLEY
BARINGO,SACHO-SOI,KAPKELELWA,390,386,776,180,16.01,48.48,SACHO,RIFT VALLEY
MOLO,KAPKEMBU,KAPKEMBU,1470,1389,2859,545,11.52,248.17,MAUCHE,RIFT VALLEY
NANDI EAST,TAITO,KAPKEMBUR,361,381,742,141,3.44,215.68,NANDI HILLS,RIFT VALLEY
NANDI SOUTH,MUGEN,KAPKEMICH,1523,1562,3085,585,6.35,486.13,ALDAI,RIFT VALLEY
KIPKELION,KUNYAK,KAPKEMOI,1122,1005,2127,411,9.7,219.37,KUNYAK,RIFT VALLEY
BURET,KOIWA,KAPKEN,1980,1987,3967,771,7.3,543.69,KONOIN,RIFT VALLEY
KEIYO,MOSOP,KAPKENDA,1643,1667,3310,642,8.31,398.15,CHEPKORIO,RIFT VALLEY
ELDORET EAST,OLARE,KAPKENO,2962,3000,5962,1279,37.03,161.02,AINABKOI,RIFT VALLEY
NANDI NORTH,KAPKOIMUR,KAPKENYELOI,602,610,1212,224,3.62,334.96,KIPKAREN,RIFT VALLEY
NANDI SOUTH,KAPKERER,KAPKERER,3052,3234,6286,1299,12.67,496.07,ALDAI,RIFT VALLEY
NANDI CENTRAL,KIPSIGAK,KAPKERUGE,692,725,1417,266,3.66,387.01,KILIBWONI,RIFT VALLEY
SOTIK,KIMOLWET,KAPKESEMBE,991,1029,2020,369,4.75,425.03,KAPLETUNDO,RIFT VALLEY
BOMET,KAPKESOSIO,KAPKESOSIO,1219,1247,2466,488,7.64,322.96,SIGOR,RIFT VALLEY
KEIYO,CHEBAROR,KAPKESSUM,831,793,1624,283,8.53,190.29,KAMARINY,RIFT VALLEY
BARINGO,NGETIMOI,KAPKIAI,456,518,974,188,4.09,238.4,KABARNET,RIFT VALLEY
BARINGO NORTH,KELYO,KAPKIAMO,1023,1003,2026,389,13.04,155.41,KABARTONJO,RIFT VALLEY
BOMET,KAPKIMOLWA,KAPKIMOLWA,2410,2534,4944,953,11.02,448.56,LONGISA,RIFT VALLEY
BARINGO NORTH,KATIORIN,KAPKIRWOK,497,534,1031,205,15,68.75,KABARTONJO,RIFT VALLEY
BURET,KAPKISIARA,KAPKISIARA,2876,2997,5873,1057,13.62,431.06,RORET,RIFT VALLEY
TINDERET,SOBA,KAPKITANY,495,458,953,183,6.83,139.52,TINDERET,RIFT VALLEY
KERICHO,KIPTOME,KAPKITIONY,1655,1680,3335,688,6.15,542.14,KABIANGA,RIFT VALLEY
KEIYO,MAOI,KAPKITONY,1419,1573,2992,533,12.19,245.54,METKEI,RIFT VALLEY
